Name,Price,Producer,MPN,EAN,UPC,Form Factor,Protocol,Size,NAND,Controller,Product Page
Crucial P2 1000 GB,295.98 zł,Crucial,CT1000P2SSD8,649528823472,,M.2,NVM,1000 GB,TLC,Phison PS5013-E13T,https://www.amazon.ca/dp/B089DNM8LR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ADATA XPG SX8200 Pro Series 2000 GB,820.39 zł,ADATA,ASX8200PNP-2TT-C,4710273772875,,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262EN,https://www.amazon.ca/dp/B07TY2TN64?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ADATA XPG SX8200 Pro Series 512 GB,984.46 zł,ADATA,ASX8200PNP-512GT-C,4713218469458,,M.2,NVM,512 GB,TLC,Silicon Motion SM2262EN,https://www.amazon.ca/XPG-SX8200-Gen3x4-3000MB-ASX8200PNP-2TT-C/dp/B07TY2TN64?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TY2TN64
ADATA XPG SX8200 Series,,ADATA,ASX8200NP-960GT-C,4713218463692,,M.2,NVM,960 GB,TLC,Silicon Motion SM2262,
ADATA XPG SX8200 Series,311.93 zł,ADATA,ASX8200NP-240GT-C,4713218463678,,M.2,NVM,240 GB,,Silicon Motion SM2262,https://www.amazon.ca/XPG-SX8200-240GB-Gen3x4-ASX8200NP-240GT-C/dp/B07BLNFSQN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BLNFSQN
ADATA XPG SX8200 Series,608.78 zł,ADATA,ASX8200NP-480GT-C,4713218463685,,M.2,NVM,480 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/dp/B07BLMP9ZT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Force LE Series 240GB TLC,,Corsair,CSSD-F240GBLEB,843591071932,,SATA,SATA,240 GB,,,
Corsair MP400 1000 GB,464.88 zł,Corsair,CSSD-F1000GBMP400,840006623250,,M.2,NVM,1000 GB,QLC,PS5012-E12S,https://www.amazon.ca/dp/B08JV25ZL3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair MP400 2000 GB,,Corsair,CSSD-F2000GBMP400,840006623267,,M.2,NVM,2000 GB,QLC,PS5012-E12S,
Corsair MP400 4000 GB,2086.51 zł,Corsair,CSSD-F4000GBMP400,840006623274,,M.2,NVM,4000 GB,QLC,PS5012-E12S,https://www.amazon.ca/dp/B08JTQTWRM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair MP400 8000 GB,,Corsair,CSSD-F8000GBMP400,840006631392,,M.2,NVM,8000 GB,QLC,PS5012-E12S,
