web-scraper-order,web-scraper-start-url,title,price,img-src,parameters
"1746615589-1","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper 7960X, 4.2 GHz, 128 MB, OEM (100-000001352)","7 229,14 zł","https://images.morele.net/i256/13145947_0_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4.2 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                24 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Tak
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                82113
                                            
                                                                                Pokaż więcej"
"1746615589-2","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 5965WX, 3.8 GHz, 128 MB, OEM (100-000000446)","7 668,78 zł","https://images.morele.net/i256/11853704_0_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                3.8 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                24 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Nie
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sWRX8
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                66026
                                            
                                                                                Pokaż więcej"
"1746615589-3","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 5975WX, 3.6 GHz, 128 MB, BOX (100-100000445WOF)","7 862,89 zł","https://images.morele.net/i256/11092654_1_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                3.6 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                32 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Nie
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sWRX8
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                75908
                                            
                                                                                Pokaż więcej"
"1746615589-4","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 5975WX, 3.6 GHz, 128 MB, OEM (100-000000445)","7 862,89 zł","https://images.morele.net/i256/11853481_1_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                3.6 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                32 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Nie
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sWRX8
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                75908
                                            
                                                                                Pokaż więcej"
"1746615589-5","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper 7970X, 4 GHz, 128 MB, OEM (100-000001351)","10 194,29 zł","https://images.morele.net/i256/13145950_0_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                32 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Tak
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                98111
                                            
                                                                                Pokaż więcej"
"1746615589-6","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper 7970X, 4 GHz, 128 MB, BOX (100-100001351WOF)","11 243,34 zł","https://images.morele.net/i256/13145978_2_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                32 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Tak
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                99129
                                            
                                                                                Pokaż więcej"
"1746615589-7","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 7965WX, 4.2 GHz, 128 MB, BOX (100-100000885WOF)","12 235,58 zł","https://images.morele.net/i256/13145951_11_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4.2 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                24 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Nie
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5 Pro
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                84785
                                            
                                                                                Pokaż więcej"
"1746615589-8","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 7965WX, 4.2 GHz, 128 MB, OEM (100-000000885)","13 079,34 zł","https://images.morele.net/i256/13204901_0_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4.2 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                24 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Nie
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5 Pro
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                84785
                                            
                                                                                Pokaż więcej"
"1746615589-9","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 7975WX, 4 GHz, 128 MB, BOX (100-100000453WOF)","18 136,65 zł","https://images.morele.net/i256/13145953_1_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                32 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Tak
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5 Pro
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                93978
                                            
                                                                                Pokaż więcej"
"1746615589-10","https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/12/","Procesor AMD Ryzen Threadripper Pro 7975WX, 4 GHz, 128 MB, OEM (100-000000453 )","20 570,99 zł","https://images.morele.net/i256/13186523_0_i256.jpg","CECHY PRODUKTU
                                                                                                                                
                                                Częstotliwość taktowania procesora:
                                                4 GHz
                                            
                                                                                                                                
                                                Liczba rdzeni:
                                                32 rdzenie
                                            
                                                                                                                                
                                                Odblokowany mnożnik:
                                                Tak
                                            
                                                                                                                                
                                                Typ gniazda:
                                                Socket sTR5 Pro
                                            
                                                                                                                                
                                                Wynik Benchmark:
                                                93978
                                            
                                                                                Pokaż więcej"
