web-scraper-order,web-scraper-start-url,brand,title,price,img-src
1746536426-1,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i7-13700T,"2 185,32 zł",https://images.morele.net/i500/13112512_0_i500.jpg
1746536426-2,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i9-14900,"2 598,74 zł",https://images.morele.net/i500/13155877_0_i500.jpg
1746536426-3,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i9-10900X,"2 705,50 zł",https://images.morele.net/i500/6551008_0_i500.jpg
1746536426-4,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i9-14900T,"2 731,37 zł",https://images.morele.net/i500/13172926_0_i500.jpg
1746536426-5,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i9-13900,"2 758,09 zł",https://images.morele.net/i500/13112514_0_i500.jpg
1746536426-6,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",AMD,Ryzen 7 PRO 7745 AM5 65W 8C/16T 5.3GHz MPK,"2 809,97 zł",https://images.morele.net/i500/14828191_0_i500.jpg
1746536426-7,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i9-14900T,"2 893,87 zł",https://images.morele.net/i500/13847746_1_i500.jpg
1746536426-8,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel,Core Ultra 9 285 procesor 36 MB Smart Cache,"2 914,96 zł",
1746536426-9,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",Intel, Core i9-13900T,"3 281,18 zł",https://images.morele.net/i500/13133434_0_i500.jpg
1746536426-10,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",AMD, Ryzen 9 7950X,"3 353,99 zł",https://images.morele.net/i500/13127996_0_i500.jpg
1746536426-11,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",AMD, Ryzen Threadripper 7960X,"7 189,10 zł",https://images.morele.net/i500/13145947_0_i500.jpg
1746536426-12,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",AMD, Ryzen Threadripper Pro 5975WX,"7 823,97 zł",https://images.morele.net/i500/11092654_1_i500.jpg
1746536426-13,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",AMD, Ryzen Threadripper 7970X,"11 634,37 zł",https://images.morele.net/i500/13145978_2_i500.jpg
1746536426-14,"https://www.morele.net/kategoria/procesory-45/,,,,,,,,0,,,,/9/",AMD, Ryzen Threadripper Pro 7965WX,"12 228,94 zł",https://images.morele.net/i500/13145951_11_i500.jpg
