title,price,img-src,link_produkt-href,chipset,ram,dlugosc,taktowanie,part_number
NVIDIA H100 94GB HBM3,"152 086,18 zł",https://images.morele.net/i256/13809491_0_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-h100-94gb-hbm3-900-21010-0020-000-13809491/,H100,268 mm,268 mm,1837 MHz,900-21010-0020-000
AMD Radeon Instinct MI210 64GB HBM2e,"45 100,74 zł",https://images.morele.net/i256/13115801_0_i256.jpg,https://www.morele.net/karta-graficzna-amd-radeon-instinct-mi210-64gb-hbm2e-100-300000008h-13115801/,Radeon Instinct MI210,267 mm,267 mm,1700 MHz,100-300000008H
PNY RTX 6000 Ada Generation 48GB GDDR6,"36 362,95 zł",https://images.morele.net/i256/13114163_1_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-6000-ada-generation-48gb-gddr6-vcnrtx6000ada-pb-13114163/,,,,,VCNRTX6000ADA-PB
NVIDIA L40S 48GB GDDR6,"36 074,25 zł",https://images.morele.net/i256/13809494_0_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-l40s-48gb-gddr6-900-2g133-0080-000-13809494/,L40S,267 mm,267 mm,2520 MHz,900-2G133-0080-000
NVIDIA L40 48GB GDDR6,"36 074,12 zł",https://images.morele.net/i256/13120936_0_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-l40-48gb-gddr6-900-2g133-0010-000-13120936/,L40,267 mm,267 mm,2490 MHz,900-2G133-0010-000
NVIDIA RTX 6000 Ada Generation 48GB GDDR6,"32 801,11 zł",https://images.morele.net/i256/13173113_1_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-rtx-6000-ada-generation-48gb-gddr6-900-5g133-2550-000-13173113/,RTX 6000 Ada Generation,268 mm,268 mm,2500 MHz,900-5G133-2550-000
PNY RTX 6000 Ada Generation 48GB GDDR6,"32 504,51 zł",https://images.morele.net/i256/13114164_2_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-6000-ada-generation-48gb-gddr6-vcnrtx6000ada-sb-13114164/,,,,,VCNRTX6000ADA-SB
NVIDIA RTX 6000 Ada Generation 48GB GDDR6,"32 233,71 zł",https://images.morele.net/i256/13809500_0_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-rtx-6000-ada-generation-48gb-gddr6-900-5g133-2250-000-13809500/,RTX 6000 Ada Generation,268 mm,268 mm,2500 MHz,900-5G133-2250-000
HP RTX 4500 Ada Generation 24GB GDDR6,"28 086,23 zł",https://images.morele.net/i256/14422936_0_i256.jpg,https://www.morele.net/karta-graficzna-hp-rtx-4500-ada-generation-24gb-gddr6-8d6c1aa-14422936/,RTX 4500 Ada Generation,267 mm,267 mm,2580 MHz,8D6C1AA
PNY RTX A6000 48GB GDDR6 BOX,"26 170,07 zł",https://images.morele.net/i256/8392683_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-a6000-48gb-gddr6-box-vcnrtxa6000-sb-8392683/,RTX A6000,268 mm,268 mm,1860 MHz,VCNRTXA6000-SB
NVIDIA RTX 5000 Ada Generation 32GB GDDR6,"20 838,16 zł",https://images.morele.net/i256/13173112_1_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-rtx-5000-ada-generation-32gb-gddr6-900-5g132-2540-000-13173112/,,,,,900-5G132-2540-000
PNY RTX 5000 Ada Generation 32GB GDDR6,"19 973,59 zł",https://images.morele.net/i256/13114161_1_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-5000-ada-generation-32gb-gddr6-vcnrtx5000ada-pb-13114161/,,,,,VCNRTX5000ADA-PB
