title,price,img-src,brand,model_core,frequency_title,part_number,frequency,cores,unlocked_multiplier,socket,benchmark_score,rodzaj,price_numeric
"Procesor AMD Ryzen Threadripper 7960X, 4.2 GHz, 128 MB, OEM (100-000001352)","7 229,14 zł",https://images.morele.net/i256/13145947_0_i256.jpg,AMD,Ryzen Threadripper 7960X,4.2 GHz,100-000001352,4.2 GHz,24 rdzenie,Tak,Socket sTR5,82113,,7229.14
"Procesor AMD Ryzen Threadripper Pro 5965WX, 3.8 GHz, 128 MB, OEM (100-000000446)","7 668,78 zł",https://images.morele.net/i256/11853704_0_i256.jpg,AMD,Ryzen Threadripper Pro 5965WX,3.8 GHz,100-000000446,3.8 GHz,24 rdzenie,Nie,Socket sWRX8,66026,,7668.78
"Procesor AMD Ryzen Threadripper Pro 5975WX, 3.6 GHz, 128 MB, BOX (100-100000445WOF)","7 862,89 zł",https://images.morele.net/i256/11092654_1_i256.jpg,AMD,Ryzen Threadripper Pro 5975WX,3.6 GHz,100-100000445WOF,3.6 GHz,32 rdzenie,Nie,Socket sWRX8,75908,,7862.89
"Procesor AMD Ryzen Threadripper Pro 5975WX, 3.6 GHz, 128 MB, OEM (100-000000445)","7 862,89 zł",https://images.morele.net/i256/11853481_1_i256.jpg,AMD,Ryzen Threadripper Pro 5975WX,3.6 GHz,100-000000445,3.6 GHz,32 rdzenie,Nie,Socket sWRX8,75908,,7862.89
"Procesor AMD Ryzen Threadripper 7970X, 4 GHz, 128 MB, OEM (100-000001351)","10 194,29 zł",https://images.morele.net/i256/13145950_0_i256.jpg,AMD,Ryzen Threadripper 7970X,4 GHz,100-000001351,4 GHz,32 rdzenie,Tak,Socket sTR5,98111,,10194.29
"Procesor AMD Ryzen Threadripper 7970X, 4 GHz, 128 MB, BOX (100-100001351WOF)","11 243,34 zł",https://images.morele.net/i256/13145978_2_i256.jpg,AMD,Ryzen Threadripper 7970X,4 GHz,100-100001351WOF,4 GHz,32 rdzenie,Tak,Socket sTR5,99129,,11243.34
"Procesor AMD Ryzen Threadripper Pro 7965WX, 4.2 GHz, 128 MB, BOX (100-100000885WOF)","12 235,58 zł",https://images.morele.net/i256/13145951_11_i256.jpg,AMD,Ryzen Threadripper Pro 7965WX,4.2 GHz,100-100000885WOF,4.2 GHz,24 rdzenie,Nie,Socket sTR5 Pro,84785,,12235.58
"Procesor AMD Ryzen Threadripper Pro 7965WX, 4.2 GHz, 128 MB, OEM (100-000000885)","13 079,34 zł",https://images.morele.net/i256/13204901_0_i256.jpg,AMD,Ryzen Threadripper Pro 7965WX,4.2 GHz,100-000000885,4.2 GHz,24 rdzenie,Nie,Socket sTR5 Pro,84785,,13079.34
"Procesor AMD Ryzen Threadripper Pro 7975WX, 4 GHz, 128 MB, BOX (100-100000453WOF)","18 136,65 zł",https://images.morele.net/i256/13145953_1_i256.jpg,AMD,Ryzen Threadripper Pro 7975WX,4 GHz,100-100000453WOF,4 GHz,32 rdzenie,Tak,Socket sTR5 Pro,93978,,18136.65
"Procesor AMD Ryzen Threadripper Pro 7975WX, 4 GHz, 128 MB, OEM (100-000000453 )","20 570,99 zł",https://images.morele.net/i256/13186523_0_i256.jpg,AMD,Ryzen Threadripper Pro 7975WX,4 GHz,100-000000453 ,4 GHz,32 rdzenie,Tak,Socket sTR5 Pro,93978,,20570.99
"Procesor AMD Ryzen Threadripper 7980X, 3.2 GHz, 256 MB, BOX (100-100001350WOF)","21 568,23 zł",https://images.morele.net/i256/13145979_2_i256.jpg,AMD,Ryzen Threadripper 7980X,3.2 GHz,100-100001350WOF,3.2 GHz,64 rdzenie,Tak,Socket sTR5,137775,,21568.23
"Procesor AMD Ryzen Threadripper 7980X, 3.2 GHz, 256 MB, OEM (100-000001350)","23 878,85 zł",https://images.morele.net/i256/13145952_0_i256.jpg,AMD,Ryzen Threadripper 7980X,3.2 GHz,100-000001350,3.2 GHz,64 rdzenie,Tak,Socket sTR5,137775,,23878.85
"Procesor AMD Ryzen Threadripper Pro 5995WX, 2.7 GHz, 256 MB, BOX (100-100000444WOF)","24 518,29 zł",https://images.morele.net/i256/11811238_1_i256.jpg,AMD,Ryzen Threadripper Pro 5995WX,2.7 GHz,100-100000444WOF,2.7 GHz,64 rdzenie,Nie,Socket sWRX8,94808,,24518.29
"Procesor AMD Ryzen Threadripper Pro 5995WX, 2.7 GHz, 256 MB, OEM (100-000000444)","24 518,29 zł",https://images.morele.net/i256/12887428_0_i256.jpg,AMD,Ryzen Threadripper Pro 5995WX,2.7 GHz,100-000000444,2.7 GHz,64 rdzenie,Nie,Socket sWRX8,94808,,24518.29
"Procesor AMD Ryzen Threadripper Pro 7985WX, 3.2 GHz, 256 MB, BOX (100-100000454WOF)","34 862,94 zł",https://images.morele.net/i256/13178709_0_i256.jpg,AMD,Ryzen Threadripper Pro 7985WX,3.2 GHz,100-100000454WOF,3.2 GHz,64 rdzenie,Tak,Socket sTR5 Pro,137139,,34862.94
